HOGARES,POBLACION,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,SUPERFICIE,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,CABLE_COAXIAL,DSL,FIBRA_OPTICA,SATELITAL,TERRESTRE_FIJO_INALAMBRICO,OTRAS_TECNOLOGIAS,SIN_TECNOLOGIA_ESPECIFICADA,ALL_ACCESS,COAX_FO,NUM_OPS,PEN_BAF,PEN_BAF_COAXFO,DENS_HOGS,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH,PEN_CLASS
230559,877190,2.06,9.54,0.31,0.16,0.72,18.01,0.63,8.73,31.13,-1.676,1178.14,42.0757125736022,51.496795372831,88.9422993417053,44.0523335591336,58308,66830,54299,0,0,0,0,179437,112607,3,77.82693366990662,48.840860690755946,19569.74553109138,9.96,13.27,4015.86,8.74,0.7,0.94,0.82,0.81,2
10787,46464,4.47,20.89,3.84,1.04,1.17,30.64,1.69,100,52.76,-0.565,547.73,9.82664318160749,38.0457958653935,71.4749235190507,16.2881245944192,0,1075,1,0,0,0,0,1076,1,2,9.97496987114119,0.009270418095856122,1969.4009822357732,7.04,11.9,1940.21,21.36,0.57,0.83,0.71,0.69,1
14182,56048,4.8,24.18,0.55,0.41,0.86,30.53,0.93,50.76,61.95,-0.698,932.74,17.5349428208386,34.2369052661301,71.7986728787237,37.978257800367,0,4373,1,0,0,0,0,4374,1,2,30.841912283175855,0.007051191651389085,1520.4665823273367,6.71,11.36,2054.38,19.1,0.54,0.85,0.72,0.69,1
3519,15577,4.35,16.55,1.24,0.57,0.47,34.62,1.42,100,49.79,-0.674,129.74,9.06507530548451,38.8462631429383,74.1403807899971,15.9136118215402,0,491,0,0,0,0,0,491,0,1,13.95282750781472,0,2712.347772468013,7.89,12.44,2303.15,18.06,0.61,0.86,0.73,0.73,0
4882,20245,4.92,21.05,4.89,1.97,2.35,32.57,1.65,71.33,48.8,-0.614,510.19,5.5988515176374,26.5586546349466,71.4725184577522,10.6644790812141,0,298,0,0,0,0,0,298,0,1,6.104055714870955,0,956.898410396127,7.05,11.98,1881.66,21.97,0.57,0.83,0.7,0.69,0
28911,120405,3.26,13.73,0.44,0.37,0.73,27.02,1.03,45.17,33.77,-1.256,505.14,34.2233766233766,46.1610389610389,88.6510822510822,38.5523809523809,0,5914,259,0,0,0,0,6173,259,2,21.35173463387638,0.8958527895956556,5723.363819931108,9.18,12.37,3949.53,13.18,0.65,0.9,0.81,0.78,1
10769,46473,3.41,14.9,1,0.42,0.9,32.24,0.62,31.6,41.48,-1.129,197.93,25.3598291391958,43.1794967035007,81.6881790324078,27.5698764973535,0,2640,0,0,0,0,0,2640,0,1,24.514811031664966,0,5440.812408427221,8.65,12.66,3102.83,13.27,0.64,0.9,0.78,0.77,0
12223,53866,3.53,14.75,1.97,0.52,1.52,31.61,0.91,43.06,43.44,-1.045,376.21,18.4415159204387,35.0495211590406,76.3935499713514,21.8384218711631,0,2586,2,0,0,0,0,2588,2,2,21.17319806921378,0.01636259510758406,3248.983280614551,8.37,12.51,2471.99,15.06,0.63,0.89,0.74,0.74,1
11705,46454,2.94,13.77,0.13,0.41,0.76,31.28,0.46,54.92,35.49,-1.156,139.09,21.6800546915057,48.5643479747051,90.1469834216373,16.2963595966501,0,1730,139,0,0,0,0,1869,139,2,15.96753524134985,1.1875266979923111,8415.414479833202,8.38,11.84,2717.38,12.8,0.61,0.91,0.76,0.75,1
2104,8896,3.2,14.87,3.51,1.32,1.23,34.06,0.44,100,44.93,-0.735,866.69,10.3760114231318,43.5030937648738,78.9623988576868,23.8457877201332,0,509,0,0,0,0,0,509,0,1,24.192015209125476,0,242.76269485052322,7.95,12.33,2272.73,15.59,0.61,0.88,0.73,0.73,0
4948,20926,4.23,22.13,1.85,0.63,0.94,33.64,1,100,49.39,-0.595,232.07,9.23605497170574,32.4171382376717,72.7970897332255,14.2077607113985,0,361,0,0,0,0,0,361,0,1,7.295877122069523,0,2132.115310035765,7.24,12.35,2176.88,19.12,0.58,0.85,0.72,0.71,0
143169,486639,3.58,14.67,0.4,0.99,8.1,22.57,1.28,22.82,29.63,-1.323,53138.79,44.7931718373707,66.0468904944043,90.6813996316758,38.0563819237852,50324,45906,12651,0,0,0,0,108881,62975,3,76.05068136258546,43.98647751957477,269.42465193505535,9.21,13.25,3554.26,19.06,0.67,0.85,0.8,0.77,2
291763,988417,1.55,9.36,0.16,0.56,1.2,23.67,0.69,12.86,23.09,-1.648,15653.41,48.9700648726491,51.0788566152531,91.6823135040532,44.3514629936505,109717,105591,18103,0,0,0,0,233411,127820,4,80.00020564636365,43.809530337979794,1863.894193022479,9.83,13.72,4124.4,7.67,0.71,0.95,0.82,0.82,2
